AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
YPCC,CC,-12.19134,96.833696,102
UGKO,GE,42.176768,42.482393,127
GE-0004,GE,41.37699890136719,43.47999954223633,147
UGMM,GE,41.916,44.566,120
GE-0003,GE,42.1899986267,43.9399986267,138
GE-0006,GE,41.840599,41.799461,116
GE-0005,GE,42.13130187989999,43.925201416,101
GE-0002,GE,42.489200592041016,41.81869888305664,105
UG24,GE,41.649200439453125,44.9364013671875,114
UG0U,GE,43.104,40.5793,143
GE-0013,GE,43.1812,40.3011,136
UGSB,GE,41.6102981567,41.5997009277,137
GE-0001,GE,41.96204376220703,45.5380744934082,101
UG28,GE,41.37950134277344,46.3672981262207,148
GE-0011,GE,41.8150179007,46.2341594696,143
GE-0010,GE,42.2403057198,42.0454931259,117
UGAM,GE,42.52687,43.13538,136
GE-0015,GE,43.385152,40.816355,102
UG22,GE,41.459202,44.783199,148
UGSS,GE,42.8582,41.128101,148
GE-0017,GE,42.75681,41.53069,111
VHSK,HK,22.4366,114.080002,130
HK-0063,HK,22.54461,114.21992,133
HK-0079,HK,22.32463,114.19064,141
HK-0008,HK,22.49456,114.11534,128
HK-0099,HK,0.015,0.015,117
HK-0001,HK,22.380238,114.189835,111
HK-0081,HK,22.34254,114.13185,137
HK-0002,HK,22.298906,114.156815,127
VHHX,HK,22.320304,114.198074,140
VHHH,HK,22.308901,113.915001,131
WIIK,ID,-6.53139019012,107.658996582,105
ID-0085,ID,-0.5824,110.4728,130
ID-0011,ID,-8.31015,114.3401,122
ID-0139,ID,2.2695,97.9666,126
ID-0167,ID,-4.247695,139.168977,121
WASB,ID,-2.1033,133.5164,120
WABC,ID,-4.6043,137.6576,142
ID-0083,ID,-4.479226,139.649894,106
WI1G,ID,-7.916590213775635,110.56400299072266,110
WAFM,ID,-2.55803,120.323997,121
WIOS,ID,0.063851,111.473572,126
ID-0088,ID,-4.0256,138.2046,144
WAPC,ID,-4.5214,129.9054,131
WALT,ID,-0.0929730013013,117.45300293,118
ID-0077,ID,0.1228,111.4197,142
ID-0266,ID,-4.21977,139.41273,125
ID-0062,ID,-3.6799,140.22955,148
ID-0176,ID,-3.959166,139.901563,135
WAWW,ID,-4.08161,122.417999,102
WIDS,ID,-0.47918900847435,104.5790023803711,129
IQ-0019,IQ,32.848533630371094,39.31089401245117,105
IQ-0013,IQ,36.49066162109375,43.34629821777344,120
ORAT,IQ,33.33810043335,43.597099304199,116
IQ-0035,IQ,31.83498191833496,46.30484008789063,120
ORTL,IQ,30.935801,46.090099,107
IQ-0006,IQ,31.81797218322754,47.07957077026367,149
IQ-0036,IQ,33.306409,44.241753,125
IQ-0023,IQ,34.44561767578125,44.595306396484375,132
IQ-0010,IQ,32.831565856933594,40.33956527709961,100
ORNI,IQ,31.989853,44.404317,142
IQ-0055,IQ,31.41740226745605,43.1823616027832,134
IQ-0052,IQ,34.608257,43.775711,129
IQ-0037,IQ,35.75707244873047,43.26463317871094,126
IQ-0011,IQ,30.646995544433597,44.56970977783203,103
IQ-0001,IQ,35.135398864746094,43.72520065307617,112
IQ-0005,IQ,33.44088,42.913307,133
IQ-0049,IQ,32.29306411743164,44.88743209838867,123
ORKK,IQ,35.46950149536133,44.348899841308594,139
IQ-0029,IQ,33.591599,44.594937,148
IQ-0047,IQ,30.426825,47.642235,131
OJMS,JO,31.8256,36.782001,140
JO-0008,JO,29.8239934905,35.3279650211,128
JO-0005,JO,32.730667612,38.9783120155,148
OJAQ,JO,29.61160087585449,35.01810073852539,103
OJAI,JO,31.7226009369,35.9931983948,113
JO-0009,JO,31.7856760596,36.2213230133,117
JO-0006,JO,31.5965854628,36.9232356548,135
OJ38,JO,32.025299072265625,36.144798278808594,108
JO-0004,JO,32.0267062933,36.4086914062,118
OJHF,JO,32.160702,37.149399,128
JO-0015,JO,31.568827,36.778292,144
OJHR,JO,32.5392,38.195,131
OJAM,JO,31.9727,35.9916,107
OJMF,JO,32.3564,36.259201,101
JO-0007,JO,31.251992,36.223211,140
JO-0003,JO,30.01919937133789,36.12590026855469,138
JO-0002,JO,30.3435,36.147701,115
KG-0034,KG,41.197684,75.765463,145
KG-0035,KG,41.93410110473633,74.5363998413086,110
KG-0009,KG,42.834,74.5774,119
KG-0018,KG,40.2717018127,72.0470962524,135
UAFG,KG,42.64948,77.058381,100
KG-0005,KG,42.99909973144531,74.29930114746094,135
KG-0028,KG,42.811500549316406,73.90049743652344,126
KG-0004,KG,42.5059013367,72.2630996704,105
KG-0007,KG,42.8288993835,75.33599853519999,114
UAFP,KG,42.5080986023,78.4077987671,107
KG-0006,KG,42.1530990601,77.5639038086,129
KG-0044,KG,42.88958,73.602004,107
KG-0027,KG,42.81890106201172,74.0730972290039,141
KG-0042,KG,42.35100173950195,78.01820373535156,109
UAFL,KG,42.585584,76.701181,131
KG-0020,KG,40.534901,72.753799,145
