AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
LOGG,AT,47.146654,16.317058,109
LOLF,AT,48.513748,14.406579,148
LOSM,AT,47.131995,13.695867,114
LOIR,AT,47.470897,10.6913,143
LOWG,AT,46.9911,15.4396,146
LOGW,AT,47.170293,15.664468,143
AT-0013,AT,47.47909,9.60508,125
LOWK,AT,46.642502,14.3377,135
DE-0354,AT,47.93474,14.350854,123
LOIA,AT,47.449756,12.396033,105
X-VIE,AT,48.2244,16.5082,150
LOLC,AT,47.898602,13.9394,125
LOAD,AT,48.160081,15.58677,100
LOLG,AT,48.10332,14.951091,116
AT-0011,AT,48.6976,16.6598,134
LOLT,AT,48.050556,14.661944,107
AT-0002,AT,47.7347054331,13.4438323975,129
LOAA,AT,48.4189,15.215661,123
LOIJ,AT,47.5201,12.4497,143
LOAT,AT,47.798024,16.558172,147
LBHT,BG,42.42189,23.767221,143
BG-0120,BG,42.75117,26.7338,116
BG-0010,BG,43.623531,24.378567,137
BG-0083,BG,42.65839,24.68383,124
BG-0119,BG,42.58531,26.49089,140
BG-0117,BG,43.62617,25.78988,123
LB11,BG,42.188747,24.535716,106
BG-0042,BG,43.236482,27.045656,143
BG-0025,BG,42.374493,23.392854,114
BG-0016,BG,41.815966,26.304145,130
BG-0115,BG,43.2595,25.3123,101
BG-0046,BG,43.5852521,25.6144416,139
LBBO,BG,43.306875,24.691729,135
BG-0031,BG,42.943042,25.169528,120
BG-0068,BG,42.757368,26.900321,139
BG-0020,BG,42.507132,26.490739,114
BG-0017,BG,42.11302,26.382551,141
LB13,BG,42.444199,22.9835,104
LBVR,BG,43.2559,23.5327,140
LBBQ,BG,43.463484,25.711613,129
CZ-0073,CZ,49.435539,16.593046,144
LKMK,CZ,49.798302,16.687799,119
CZ-0054,CZ,50.641667,14.541389,141
CZ-0126,CZ,50.184305,15.166551,126
CZ-0185,CZ,50.59624,15.48122,107
LKSU,CZ,49.960602,17.017799,108
LKMB,CZ,50.3983,14.8983,102
CZ-0145,CZ,51.008731,14.343853,102
CZ-0158,CZ,49.7220654,18.3749167,119
LKHD,CZ,50.6572,15.0778,131
LKHV,CZ,49.848099,13.8935,107
CZ-0153,CZ,49.6527778,18.3458333,106
LKJI,CZ,49.419399,15.6353,115
LKVP,CZ,50.4678,16.205601,134
LKBA,CZ,48.790439,16.892531,108
CZ-0122,CZ,49.824177,16.194713,124
LKCM,CZ,49.236698,16.555,129
CZ-0192,CZ,49.97728,16.184921,123
CZ-0079,CZ,49.974444,14.649167,142
CZ-0057,CZ,49.12821,14.17325,147
DK-0001,DK,54.984115,11.537662,144
EKML,DK,55.751716,12.280226,134
EKHM,DK,55.908195,9.446358,126
EKMB,DK,54.699299,11.4401,137
EKHS,DK,56.755924,10.228829,147
EKVL,DK,55.769501,12.3239,146
DK-0047,DK,54.9741,10.39631,109
EKCH,DK,55.617900848389,12.656000137329,126
EKLV,DK,56.502998,8.31133,141
DK-0021,DK,55.550967,9.189979,106
EKSL,DK,55.452222,11.644722,131
EKLS,DK,57.27719879150391,11.000100135803224,139
DK-0013,DK,55.210902,11.717592,126
DK-0005,DK,55.543022,10.032566,117
EKNS,DK,54.8172,11.1308,102
DK-0014,DK,55.07485,9.753379,144
EKHG,DK,56.1847,9.04445,123
DK-0033,DK,56.071002,9.867514,113
DK-0050,DK,57.422473,9.862525,128
EKGL,DK,55.8855556,12.2280556,128
EE-9278,EE,59.53670120239258,26.31170082092285,115
EETI,EE,57.952306,26.476493,123
EE-0001,EE,58.3650016784668,22.44499969482422,106
EENA,EE,59.388599,28.1136,143
EEJI,EE,59.329167,27.397222,123
EE-0009,EE,58.707634,24.221667,134
EETN,EE,59.41329956049999,24.8327999115,141
EERU,EE,57.783901,23.2661,122
EE-0010,EE,57.983715,22.194271,103
EENI,EE,58.865002,25.73,125
EE-0007,EE,58.3121457,22.2644062,117
EEVU,EE,57.63288,26.671085,112
EERA,EE,58.9864006042,24.7243995667,107
EEVI,EE,58.348374,25.494831,129
EE-7685,EE,57.81330108642578,26.07670021057129,105
EE-0005,EE,58.2133333,22.51,142
EEPU,EE,58.41899871826172,24.47279930114746,113
EEEI,EE,59.26029968261719,24.208499908447266,141
EEHA,EE,59.3579,24.3795,140
EEKE,EE,58.22990036010742,22.50950050354004,138
EFKI,FI,64.2855,27.6924,101
EFVT,FI,63.3978,24.0306,103
FI-0004,FI,62.513442,24.068282,150
EFSO,FI,67.3949966431,26.6191005707,121
EFHL,FI,64.969553,24.704218,115
EFTP,FI,61.414101,23.604401,108
EFKK,FI,63.721199,23.143101,150
EFIK,FI,60.462502,23.6525,136
EFEU,FI,61.1161,22.201401,113
EFJY,FI,62.399502,25.678301,104
EFAA,FI,67.60359954833984,23.97170066833496,148
EFMA,FI,60.1222,19.898199,135
EFKH,FI,64.112503,29.438601,113
EFPY,FI,63.731899,25.9263,137
EFPU,FI,65.402199,26.946899,113
EFHJ,FI,63.7122,25.395,114
EFLN,FI,63.511902,29.6292,121
