AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
LAKU,AL,42.035802,20.415955,108
AL-0003,AL,40.601737,19.432712,111
LATI,AL,41.4147,19.7206,120
LAVL,AL,40.476101,19.474199,128
AL-LA10,AL,40.085383,20.15389,139
AL-0010,AL,40.6114,20.7852,103
LASR,AL,39.876113,20.037663,122
LAKO,AL,40.651741,20.741715,100
LASK,AL,42.089361,19.509111,131
LAGJ,AL,41.895199,19.5987,108
AO-0012,AO,-17.454765,22.607245,112
FN18,AO,-14.727499961853027,15.013999938964844,124
FNWK,AO,-11.426400184631348,15.101400375366213,135
AO-0048,AO,-15.711983,18.651003,132
AO-0037,AO,-17.878868,19.782762,141
AO-0041,AO,-9.415833,18.434794,131
AO-0043,AO,-12.357134,14.77923,126
AO-0005,AO,-11.4723,16.710899,143
FNCV,AO,-15.160300254821776,19.156099319458008,131
AO-0011,AO,-18.020826,21.437053,126
EBGL,BE,50.73973,5.5421,145
BE-0037,BE,50.53108,3.60476,128
EBNO,BE,50.854401,3.98528,131
EBFD,BE,50.550835,4.996389,110
EBBX,BE,49.891483,5.227405,105
BE-0001,BE,50.176388,4.352222,136
EBLN,BE,50.579514,4.79153,101
EBBO,BE,49.866402,5.06806,150
EBFN,BE,51.090302,2.65278,148
EBSH,BE,50.0359,5.40425,114
DFEL,BF,12.464046,1.492939,118
DFEB,BF,12.982999801635742,-0.1669999957084655,102
DFET,BF,11.801149,-0.371377,117
DFEK,BF,12.166999816894531,-0.3000000119209289,114
DFOU,BF,10.949999809265137,-3.25,134
DFOR,BF,10.986103,-4.924793,118
DFER,BF,11.597000122070312,1.4830000400543213,110
DFOF,BF,12.149999618530272,-3.183000087738037,149
DFCR,BF,11.616999626159668,-2.75,129
DFCY,BF,12.949999809265137,-2.282999992370605,136
LBBQ,BG,43.463484,25.711613,147
BG-0020,BG,42.507132,26.490739,149
BG-0046,BG,43.5852521,25.6144416,149
LBBO,BG,43.306875,24.691729,131
BG-0031,BG,42.943042,25.169528,135
BG-0068,BG,42.757368,26.900321,132
BG-0017,BG,42.11302,26.382551,107
LB13,BG,42.444199,22.9835,136
LBVR,BG,43.2559,23.5327,107
BG-0115,BG,43.2595,25.3123,117
WBAK,BN,4.635158,114.378748,149
WBSB,BN,4.9442,114.928001,134
SLCP,BO,-16.142688,-62.026595,123
SLJV,BO,-16.27079963684082,-62.47029876708984,134
BO-BVL,BO,-13.5833330154,-63.5833320618,148
SLBS,BO,-14.2677001953125,-64.29900360107422,102
SLSS,BO,-18.4754,-58.2767,148
SLPW,BO,-20.75469970703125,-63.20940017700195,146
SLNV,BO,-14.016666412353516,-65.80000305175781,128
SLEZ,BO,-14.766666412353516,-65.53333282470703,134
SLTW,BO,-18.46640014648437,-62.11199951171875,113
SLUC,BO,-20.480499267578125,-63.528167724609375,127
FBOM,BW,-19.0175,22.703,106
BW-0013,BW,-22.6079,24.7897,147
FBMU,BW,-22.268095,20.031092,141
FBMN,BW,-19.97260093688965,23.431100845336918,148
BW-0061,BW,-24.683001,25.933001,115
FBTS,BW,-26.034524,22.401252,119
BW-0020,BW,-25.198058,25.721603,102
FBCM,BW,-19.541,22.591,128
BW-0043,BW,-19.329429,24.841567,116
FBNT,BW,-20.216100692749023,26.158899307250977,122
FEFB,CF,5.403889,26.487222,105
FEGU,CF,6.517000198364258,18.267000198364254,128
GDA,CF,9.316703,21.185,107
FEGR,CF,4.988609790802002,23.92779922485352,149
FEFF,CF,4.39847993850708,18.518800735473636,115
FEFR,CF,6.527780055999756,21.98940086364746,113
FEFQ,CF,6.982999801635742,19.183000564575195,147
FEFP,CF,7.25,16.433000564575195,137
FEFW,CF,8.010560035705566,22.39859962463379,144
FEFI,CF,10.23639965057373,22.71689987182617,122
DJ-0001,DJ,11.30608,42.91968,145
HDAM,DJ,11.5473,43.1595,139
HDHE,DJ,12.4449,43.292575,140
HDAS,DJ,11.146889,42.72,127
HDMO,DJ,11.72975,43.209559,110
HDCH,DJ,11.516799926757812,43.0614013671875,139
HDAG,DJ,12.188882,42.637494,108
HDTJ,DJ,11.787037,42.917376,150
HDOB,DJ,11.967000007629396,43.266998291015625,113
DJ-0002,DJ,11.54796,43.12446,113
EC-0010,EC,-1.650816,-77.596069,103
SEJE,EC,-2.744252,-77.487304,136
SEIR,EC,-2.219802,-76.814087,122
SEHZ,EC,-2.363793,-77.406923,134
EC-0034,EC,-1.649742,-77.047942,117
SE13,EC,-1.7033530473709106,-79.53804779052734,138
SEEZ,EC,-2.750557,-77.556644,134
SE09,EC,-2.174602,-79.234887,110
SEKH,EC,-2.033081,-77.670886,120
SEBW,EC,-1.260964,-76.387219,145
ES-0156,ES,39.0369546,-2.8946489,118
ES-0248,ES,38.1392261,-3.1738682,118
ES-0048,ES,37.12557,-2.595571,136
ES-0209,ES,40.2237809995,-3.866911,117
ES-0122,ES,37.386693,-6.250106,132
ES-0061,ES,39.400644,2.860621,143
ES-0265,ES,40.485591,-4.050783,106
GCXO,ES,28.4827,-16.341499,108
ES-0084,ES,38.9431666667,-0.76915,148
LEVT,ES,42.882801,-2.72447,150
MYS,ET,3.5623,39.0433,126
HAFN,ET,9.584387,37.377855,103
HAAL,ET,9.003685,38.725498,117
HABD,ET,11.6081,37.321602,141
HAKD,ET,6.732577,44.241339,108
ET-0007,ET,4.17489,42.03296,144
ET-0001,ET,9.3615,42.7887,108
HAWC,ET,7.167,37.167,115
HASD,ET,6.80281,37.68622,109
HAMM,ET,12.932999610899998,36.1669998169,145
FI-0012,FI,61.89421,26.18803,120
EFAA,FI,67.60359954833984,23.97170066833496,115
EFHJ,FI,63.7122,25.395,148
FI-0002,FI,60.75732,26.734313,143
EFMA,FI,60.1222,19.898199,125
EFNS,FI,60.52,24.831699,131
EFKH,FI,64.112503,29.438601,109
EFPY,FI,63.731899,25.9263,136
EFLN,FI,63.511902,29.6292,140
EFPU,FI,65.402199,26.946899,117
NFNV,FJ,-17.499603,177.863075,140
NFMA,FJ,-17.672844,177.0985,126
NFNS,FJ,-16.803394,179.340587,124
NFNM,FJ,-16.690599,-179.876999,128
NFNA,FJ,-18.04330062866211,178.5590057373047,104
NFRS,FJ,-17.6554,177.2654,140
NFNK,FJ,-18.1991996765,-178.817001343,150
NFKD,FJ,-19.0580997467,178.156997681,149
NFFO,FJ,-17.778448,177.196996,105
NFNB,FJ,-17.7110996246,178.759002686,125
FK-0015,FK,-51.755735,-60.534498,132
FK-0024,FK,-51.459942,-58.612131,147
FK-0027,FK,-52.181403,-58.858788,117
FK-0006,FK,-51.539398193359375,-60.35639953613281,144
FK-0026,FK,-52.2299,-59.744502,123
FK-0036,FK,-51.310931,-59.566162,129
FK-0013,FK,-52.205532,-60.535062,131
FK-0004,FK,-51.345611572265625,-60.6839714050293,120
FK-0033,FK,-51.613225,-59.516675,137
FK-0030,FK,-51.365478,-59.691389,100
FOGF,GA,-1.278325,10.612497,149
FOGE,GA,-2.4,11.367,146
FOGR,GA,-0.7043889760971069,10.245699882507324,105
GA-GAX,GA,-2.785278,10.047222,146
FOGK,GA,-1.1846100091934,12.441300392151,129
GA-0008,GA,-0.144131,12.187929,140
FOOR,GA,-0.8266670107841492,12.748600006103516,142
FOON,GA,-1.6561599969863892,13.437999725341797,144
GA-0006,GA,-0.02894,11.418021,122
GA-0009,GA,-0.539352,12.633707,104
GE-0001,GE,41.96204376220703,45.5380744934082,150
GE-0015,GE,43.385152,40.816355,134
UGMM,GE,41.916,44.566,125
UGSS,GE,42.8582,41.128101,113
GE-0011,GE,41.8150179007,46.2341594696,127
UGSB,GE,41.6102981567,41.5997009277,113
UG24,GE,41.649200439453125,44.9364013671875,131
UGKO,GE,42.176768,42.482393,117
UG0U,GE,43.104,40.5793,120
GE-0010,GE,42.2403057198,42.0454931259,118
OCS,GQ,0.9125,9.3304,121
FGSL,GQ,3.755270004272461,8.708720207214355,135
GQ-0001,GQ,1.636763,11.302458,136
FGMY,GQ,1.685334,11.024394,108
MDV,GQ,1.0085,10.7552,136
FGBT,GQ,1.90547,9.80568,131
FGAB,GQ,-1.408615,5.624163,150
GR-0001,GR,40.840795,21.823633,121
GR-0011,GR,35.5295502,23.8330614,143
LGRD,GR,36.383099,28.1089,148
GR-0028,GR,37.65919,22.704,103
LG55,GR,37.094101,21.9904,102
LGAV,GR,37.936401,23.9445,106
LGLR,GR,39.650253,22.4655,140
LGSA,GR,35.5317,24.1497,150
LGAT,GR,37.89162,23.730211,129
LGIO,GR,39.6964,20.8225,101
HU-0042,HU,46.546667,19.96,107
HU-0062,HU,47.43479,18.78092,110
HU-0033,HU,47.142766,17.997751,128
LHSM,HU,46.686391,17.159084,129
LHBC,HU,46.677132,21.161188,100
HU-0005,HU,46.456257,20.392963,127
HU-0051,HU,46.57223,19.42941,112
HU-0049,HU,47.13329,17.63988,144
HU-0019,HU,48.025531,19.805066,108
LHKI,HU,46.6569444,19.2425,141
WIDS,ID,-0.47918900847435,104.5790023803711,119
WIOS,ID,0.063851,111.473572,110
ID-0088,ID,-4.0256,138.2046,117
WAPC,ID,-4.5214,129.9054,105
WALT,ID,-0.0929730013013,117.45300293,141
ID-0266,ID,-4.21977,139.41273,123
ID-0062,ID,-3.6799,140.22955,116
ID-0176,ID,-3.959166,139.901563,105
WAWW,ID,-4.08161,122.417999,123
ID-0077,ID,0.1228,111.4197,142
IE-0024,IE,52.866546,-6.810249,141
EICM,IE,53.300201416015625,-8.941590309143066,110
IE-0001,IE,52.603908,-8.417588,103
IE-0020,IE,53.884757,-8.488176,125
EIWT,IE,53.3522,-6.48611,140
IE-0034,IE,52.414439,-6.363058,119
IE-0023,IE,52.34653,-9.76285,146
EISG,IE,54.280200958252,-8.5992097854614,144
EIBR,IE,53.07059860229492,-7.898330211639404,148
EICL,IE,53.249656677246094,-7.122745513916016,114
EGJJ,JE,49.20790100097656,-2.195509910583496,127
JP-1974,JP,34.17991,132.16751,141
RJCC,JP,42.7752,141.692001,105
JP-1683,JP,34.6401,135.59974,145
JP-1950,JP,35.47981,139.45041,106
RJTA,JP,35.454601,139.449997,100
RJCB,JP,42.7332992554,143.216995239,113
JP-2403,JP,34.91469,134.9816,130
RJFC,JP,30.385599,130.658997,104
JP-0395,JP,36.00216,139.498,108
JP-1017,JP,34.66777,135.39221,137
NGTR,KI,-2.616233,176.802209,114
NGON,KI,-1.7961100339889526,175.5260009765625,133
KI-0001,KI,1.356247,172.930108,143
NGTU,KI,3.08583,172.811005,128
NGTE,KI,-1.2244700193405151,174.7760009765625,100
KI-0002,KI,1.76283,-157.19466,100
NGTM,KI,-2.485830068588257,175.97000122070312,144
NGMA,KI,1.0036100149154663,173.031005859375,121
NGAB,KI,1.79861,173.041,107
NGNU,KI,-1.31444001198,176.410003662,127
OKBK,KW,29.226601,47.968899,144
OKAS,KW,29.344632,47.511215,108
OKDI,KW,29.697599411010746,47.43600082397461,130
Z19M,KW,29.045299530029297,47.79079818725586,104
KW-0016,KW,28.60425,48.3093,114
