AirportCode,AirfieldName,Latitude,Longitude,ParkingCost
LTCP,TR,37.7314,38.468899,103
LTAH,TR,38.726398,30.601101,105
TR-0018,TR,40.74797058105469,31.650066375732425,140
LTBR,TR,40.2551994324,29.5625991821,127
TR-0009,TR,37.828125,29.637863159179688,117
TR-0011,TR,38.01278305053711,39.95493698120117,102
TR-0028,TR,40.787068,26.606655,100
LTCA,TR,38.597974,39.28348,121
LTAV,TR,39.45149993896485,31.36529922485352,149
LTAJ,TR,36.947201,37.478699,108
TR-0032,TR,40.222900390625,39.79309844970703,140
TR-0038,TR,37.5439478243,44.3380093575,116
LTDA,TR,36.362778,36.282223,110
LTBA,TR,40.971913,28.823714,147
LTAL,TR,41.314201,33.795799,128
LTAM,TR,38.40629959106445,35.32780075073242,135
TR-0013,TR,37.859693,32.456789,145
LTBZ,TR,39.113079,30.128111,127
LTBC,TR,38.369998931884766,28.557100296020508,135
LTCN,TR,37.5388259888,36.9535217285,100
LTCR,TR,37.2233009338,40.6316986084,107
TR-0037,TR,38.7861877312,41.4696979523,104
TR-0215,TR,38.66602,34.81896,144
TR-0029,TR,37.84506988525391,34.47179412841797,109
TR-0036,TR,41.141201,37.209202,134
LFTO,TR,41.179625,40.850796,102
LTAQ,TR,41.278645,36.30518,123
LTCL,TR,37.97890090942383,41.84040069580078,137
LTCM,TR,42.018313,35.071774,135
LTBU,TR,41.13819885253906,27.919099807739254,109
LTAW,TR,40.307430267333984,36.367408752441406,127
LTCG,TR,40.995098,39.7897,108
LTCS,TR,37.445663,38.895592,102
LTBO,TR,38.681499,29.471701,119
LTCI,TR,38.46820068359375,43.332298278808594,123
LTAX,TR,41.25139999389648,31.41080093383789,150
TR-0014,TR,38.314704,33.8055,102
TR-0065,TR,39.86236,33.483787,122
LTCJ,TR,37.9290008545,41.1166000366,113
LTCV,TR,37.3647,42.0582,143
