from,to
OJHR,LA-0001
OJHR,KR-0057
OJHR,LA-0006
OJHR,VRBK
OJHR,UG28
OJHR,LA-0005
OJHR,GE-0003
OJHR,WIOS
OJHR,VCCC
OJHR,UAFL
OJHR,RK39
OJHR,UG22
OJHR,VCCN
OJHR,WAPC
OJHR,UGSS
OJHR,IQ-0055
OJHR,LK-0004
OJHR,LVGZ
VLXK,QJP
VLXK,KP-0035
VLXK,MV-0007
VLXK,RK25
VLXK,VREI
VLXK,KP-0085
VLXK,GE-0001
VLXK,KP-0005
VLXK,VLSV
VLXK,WABC
VLXK,IQ-0036
VLXK,LK-0002
VLXK,VRMM
VLXK,MV-0004
VLXK,OTHH
VLXK,KG-0014
VLXK,DWO
VLXK,VLVT
VLXK,KP-0055
VLXK,VMMC
VLXL,KP-0070
VLXL,WIDS
VLXL,ID-0077
VLXL,OTBK
VLXL,VRMT
VLXL,DBK
VLXL,ORTL
VLXL,JO-0015
VLXL,VLSB
VLXL,VCCJ
VLXL,LK-0003
VLXL,ID-0083
VLXL,WIIK
VLXL,KEZ
VLXL,UG22
HK-0063,ID-0139
HK-0063,JO-0003
HK-0063,QA-0014
HK-0063,ID-0167
HK-0063,HK-0099
HK-0063,DBU
HK-0063,HK-0008
HK-0063,KR-0057
HK-0063,OTBK
HK-0063,KG-0007
HK-0063,VLHS
HK-0063,KG-0028
HK-0063,IQ-0023
HK-0063,LA-0003
HK-0063,DWO
HK-0063,KP-0001
HK-0063,PS-0002
UG0U,KG-0032
UG0U,ID-0062
UG0U,MV-0007
UG0U,WABC
UG0U,WASB
UG0U,VLOS
UG0U,DBU
UG0U,HK-0081
UG0U,JO-0003
UG0U,ORTL
UG0U,RKTE
UG0U,VLHS
UG0U,JO-0008
UG0U,ID-0176
UG0U,VRMO
UG0U,KP-0013
UG0U,LK-0003
UG0U,KG-0007
VRDA,WIOS
VRDA,GE-0001
VRDA,KDW
VRDA,MV-0012
VRDA,VLPS
VRDA,IQ-0023
VRDA,HK-0002
VRDA,OJMF
VRDA,LA-0003
VRDA,VCCW
VRDA,ID-0011
VRDA,KP-0005
VRDA,IQ-0005
VRDA,RKTI
VRDA,LK-0006
ID-0077,GE-0015
ID-0077,DWO
ID-0077,VLXL
ID-0077,RKRN
ID-0077,VHHX
ID-0077,VLOS
ID-0077,OJ38
ID-0077,OTHH
ID-0077,KP-0055
ID-0077,JO-0004
ID-0077,VLPS
ID-0077,KP-0082
ID-0077,KG-0027
ID-0077,LA-0001
ID-0077,GE-0011
ID-0077,PS-0002
RKRN,VLAP
RKRN,LA-0002
RKRN,RK17
RKRN,JO-0009
RKRN,ID-0077
RKRN,VLSK
RKRN,IQ-0013
RKRN,GE-0001
RKRN,KP-0024
RKRN,JO-0007
RKRN,KP-0019
RKRN,GE-0017
RKRN,VLSN
RKRN,IQ-0019
RKRN,LVGZ
WAPC,UGSS
WAPC,LLAZ
WAPC,WABC
WAPC,VREI
WAPC,WIOS
WAPC,KP-0058
WAPC,OJAQ
WAPC,GE-0001
WAPC,KG-0005
WAPC,QA-0009
WAPC,IQ-0010
WAPC,FND
WAPC,OJHR
WAPC,KP-0082
WAPC,PS-0001
WAPC,RKTE
WAPC,VLSB
UGAM,KR-0611
UGAM,QA-0012
UGAM,VCCS
UGAM,VLSN
UGAM,GE-0006
UGAM,KG-0035
UGAM,MV-0010
UGAM,UG28
UGAM,VCCN
UGAM,LA-0001
UGAM,PCQ
UGAM,ID-0083
UGAM,KG-0018
UGAM,RKPE
UGAM,KG-0013
UGAM,QA-0009
RK25,GE-0017
RK25,ORNI
RK25,JO-0003
RK25,RK82
RK25,VLXK
RK25,VRMO
RK25,OTHH
RK25,MV-0008
RK25,VHHX
RK25,IQ-0010
RK25,IQ-0055
RK25,GE-0010
RK25,OTBD
RK25,KG-0013
RK25,ID-0088
RK25,HBT
RK25,MV-0012
RK25,VCCB
RK25,IQ-0036
RK25,KG-0007
DWO,ID-0077
DWO,IQ-0011
DWO,VLOS
DWO,RKTI
DWO,VCCC
DWO,WI1G
DWO,UGSS
DWO,JO-0006
DWO,VLSN
DWO,MV-0002
DWO,IQ-0049
DWO,WIIK
DWO,HK-0063
DWO,VLXK
DWO,UG22
DWO,KP-0055
DWO,HBT
DWO,KG-0018
WIOS,MV-0007
WIOS,VRDA
WIOS,VRMO
WIOS,WI1G
WIOS,WAPC
WIOS,KG-0004
WIOS,KP-0082
WIOS,KG-0027
WIOS,OJHR
WIOS,KP-0078
WIOS,FND
WIOS,KG-0020
WIOS,LLAZ
WIOS,KG-0034
WIOS,GE-0015
RK22,VRNT
RK22,YPCC
RK22,VCCA
RK22,KP-0075
RK22,RKUL
RK22,WI1G
RK22,LK-0004
RK22,LK-0002
RK22,RKPE
RK22,RK82
RK22,ID-0085
RK22,KG-0006
RK22,OTBH
RK22,VRMT
KDW,LA-0005
KDW,WAFM
KDW,VRDA
KDW,KG-0006
KDW,ID-0139
KDW,RKPC
KDW,UGSS
KDW,WALT
KDW,ID-0088
KDW,IQ-0023
KDW,RKPU
KDW,KG-0018
KDW,KG-0020
KDW,MV-0010
KDW,KG-0028
KDW,GE-0003
KDW,JO-0005
KDW,MV-0012
KDW,KP-0024
HK-0079,OTBH
HK-0079,JO-0008
HK-0079,JO-0015
HK-0079,ID-0062
HK-0079,KP-0067
HK-0079,KG-0006
HK-0079,IQ-0019
HK-0079,KG-0013
HK-0079,KP-0058
HK-0079,PS-0001
HK-0079,KP-0035
HK-0079,KG-0044
HK-0079,ID-0088
HK-0079,HK-0002
HK-0079,UGMM
HK-0079,IQ-0036
KDZ,MV-0001
KDZ,KG-0018
KDZ,ID-0085
KDZ,VRNT
KDZ,GE-0015
KDZ,KP-0063
KDZ,KP-0011
KDZ,JO-0004
KDZ,IQ-0029
KDZ,KP-0075
KDZ,GE-0002
KDZ,KP-0085
KDZ,IQ-0013
KDZ,KP-0035
KDZ,KG-0044
DGM,GE-0001
DGM,RKPU
DGM,LA-0006
DGM,IQ-0035
DGM,MV-0003
DGM,QJP
DGM,KP-0085
DGM,ID-0083
DGM,ORTL
DGM,WIDS
DGM,GE-0003
DGM,IQ-0029
DGM,WALT
ID-0083,RKPC
ID-0083,VRBK
ID-0083,PS-0001
ID-0083,VCCA
ID-0083,RKTI
ID-0083,LA-0002
ID-0083,ID-0139
ID-0083,VLXL
ID-0083,JO-0003
ID-0083,UGSB
ID-0083,ID-0167
ID-0083,UGAM
ID-0083,IQ-0023
ID-0083,DGM
ID-0083,OJAI
VRBK,ID-0083
VRBK,VREI
VRBK,ID-0011
VRBK,OJHR
VRBK,WI1G
VRBK,MV-0007
VRBK,ID-0139
VRBK,OT62
VRBK,IQ-0010
VRBK,LA-0004
VRBK,KG-0032
VRBK,PS-0002
VRBK,KG-0033
ID-0085,RK17
ID-0085,VLSB
ID-0085,KDZ
ID-0085,VCCA
ID-0085,JO-0004
ID-0085,QA-0012
ID-0085,KP-0070
ID-0085,KP-0072
ID-0085,LVGZ
ID-0085,VLSV
ID-0085,MV-0008
ID-0085,IQ-0013
ID-0085,OTBD
ID-0085,MV-0002
ID-0085,MV-0003
ID-0085,RK22
ID-0085,KG-0020
ID-0085,IQ-0011
ID-0088,JO-0004
ID-0088,KG-0035
ID-0088,LA-0001
ID-0088,KG-0013
ID-0088,KP-0082
ID-0088,KG-0009
ID-0088,GE-0001
ID-0088,KP-0064
ID-0088,KDW
ID-0088,LK-0006
ID-0088,RK25
ID-0088,IQ-0006
ID-0088,QA-0009
ID-0088,HK-0079
ID-0088,KP-0005
ID-0088,KG-0028
ID-0088,WIIK
ID-0088,QA-0001
ID-0088,IQ-0013
ID-0088,KG-0044
RK17,KG-0044
RK17,ID-0085
RK17,RKRN
RK17,LK-0006
RK17,KG-0028
RK17,HK-0001
RK17,KG-0042
RK17,RK39
RK17,VHSK
RK17,KP-0075
RK17,HBT
RK17,IQ-0006
RK17,ORTL
RK17,JO-0007
RK17,VRMT
RK17,RKUL
RK17,JO-0003
RK17,MV-0001
RK17,ID-0011
RK17,KG-0035
RK17,QA-0012
OJHF,KP-0082
OJHF,UGSB
OJHF,KR-0017
OJHF,IQ-0036
OJHF,ORTL
OJHF,VREI
OJHF,KP-0075
OJHF,VLLN
OJHF,VRMM
OJHF,KR-0611
OJHF,LA-0005
OJHF,OTBH
JO-0015,UAFL
JO-0015,ID-0011
JO-0015,IQ-0013
JO-0015,OTBD
JO-0015,KG-0018
JO-0015,HK-0079
JO-0015,GE-0001
JO-0015,VLXL
JO-0015,ORTL
JO-0015,QA-0001
JO-0015,VCCA
JO-0015,UG22
JO-0015,WABC
JO-0015,OJJR
JO-0015,LVGZ
KEZ,JO-0008
KEZ,VLLB
KEZ,OTHH
KEZ,VRNT
KEZ,KG-0005
KEZ,RKPU
KEZ,HK-0001
KEZ,KG-0034
KEZ,VLXL
KEZ,KG-0027
KEZ,GE-0001
KEZ,ID-0266
KEZ,IQ-0006
KEZ,MV-0008
UGSB,OJHF
UGSB,UG22
UGSB,KP-0085
UGSB,KP-0001
UGSB,KP-0011
UGSB,KP-0082
UGSB,OTBK
UGSB,DBU
UGSB,KP-0077
UGSB,WAWW
UGSB,WIDS
UGSB,ID-0083
UGSB,RKTI
UGSB,KG-0033
UGSB,IQ-0035
UGSB,KG-0042
UGSB,ID-0167
UGSB,ID-0176
UGSB,KP-0070
OJJR,KG-0033
OJJR,OJAI
OJJR,DBU
OJJR,RKPU
OJJR,RK95
OJJR,KP-0013
OJJR,JO-0015
RKTI,IQ-0019
RKTI,JO-0007
RKTI,IQ-0055
RKTI,PS-0001
RKTI,IQ-0049
RKTI,DWO
RKTI,ID-0083
RKTI,WI1G
RKTI,LA-0005
RKTI,GE-0004
RKTI,LA-0002
RKTI,VLSB
RKTI,UGSB
RKTI,KR-0057
RKTI,VRDA
RKTI,DBU
RKTI,UG28
VREI,VRBK
VREI,DBU
VREI,VLXK
VREI,WAPC
VREI,KP-0063
VREI,OJHF
VREI,OJAQ
VREI,KP-0005
VREI,IQ-0019
VREI,RK36
VREI,ID-0176
VREI,HK-0002
VREI,LMV
RKTE,HK-0099
RKTE,KP-0064
RKTE,KP-0019
RKTE,KP-0005
RKTE,IQ-0011
RKTE,UG0U
RKTE,PCQ
RKTE,LMV
RKTE,JO-0008
RKTE,VHSK
RKTE,IQ-0010
RKTE,WAPC
RKTE,RK36
IQ-0052,RKUL
IQ-0052,KG-0044
IQ-0052,HK-0008
IQ-0052,KP-0063
IQ-0052,WIIK
IQ-0052,OT62
IQ-0052,QA-0014
IQ-0052,UAFL
IQ-0052,VLPS
IQ-0052,FND
IQ-0052,ID-0011
ID-0176,IQ-0013
ID-0176,RKPC
ID-0176,KP-0058
ID-0176,VCCS
ID-0176,AFK
ID-0176,ID-0266
ID-0176,VLHS
ID-0176,VREI
ID-0176,KG-0013
ID-0176,WAWW
ID-0176,DBU
ID-0176,UG0U
ID-0176,LA-0002
ID-0176,MV-0001
ID-0176,MV-0008
ID-0176,RKPE
ID-0176,UGSB
UGSS,LK-0003
UGSS,WAPC
UGSS,OJAI
UGSS,ORTL
UGSS,VLSB
UGSS,VCCW
UGSS,LA-0001
UGSS,MV-0002
UGSS,KG-0020
UGSS,KDW
UGSS,MV-0004
UGSS,DWO
UGSS,MV-0012
UGSS,KP-0072
UGSS,UAFL
UGSS,OJHR
UGSS,JO-0002
UGSS,WIIK
UGSS,KP-0064
IQ-0055,VCCA
IQ-0055,MV-0010
IQ-0055,UAFL
IQ-0055,RKTI
IQ-0055,IQ-0049
IQ-0055,RK82
IQ-0055,RK25
IQ-0055,GE-0015
IQ-0055,IQ-0023
IQ-0055,UG24
IQ-0055,IQ-0006
IQ-0055,OTHH
IQ-0055,KP-0005
IQ-0055,KG-0027
IQ-0055,OJHR
JO-0004,KG-0027
JO-0004,ID-0088
JO-0004,UAFL
JO-0004,OT62
JO-0004,KG-0014
JO-0004,ID-0011
JO-0004,JO-0007
JO-0004,ID-0085
JO-0004,LA-0006
JO-0004,KR-0017
JO-0004,UAFG
JO-0004,VHSK
JO-0004,KDZ
JO-0004,VLSV
JO-0004,ID-0077
JO-0004,KR-0064
JO-0004,GE-0004
JO-0005,JO-0009
JO-0005,LK-0004
JO-0005,RKPE
JO-0005,ID-0167
JO-0005,HK-0081
JO-0005,JO-0007
JO-0005,YPCC
JO-0005,UAFG
JO-0005,LK-0002
JO-0005,OTHH
JO-0005,OJMS
JO-0005,KP-0085
JO-0005,KDW
JO-0005,KP-0067
JO-0005,LA-0001
JO-0006,DBK
JO-0006,RKPE
JO-0006,VRMT
JO-0006,KR-0017
JO-0006,ID-0062
JO-0006,DWO
JO-0006,MV-0008
JO-0006,PCQ
JO-0006,WABC
JO-0006,VLAP
JO-0006,JO-0003
JO-0007,RKTI
JO-0007,VRMM
JO-0007,WABC
JO-0007,JO-0004
JO-0007,KP-0075
JO-0007,KG-0032
JO-0007,JO-0005
JO-0007,KG-0020
JO-0007,ORKK
JO-0007,KG-0034
JO-0007,PS-0002
JO-0007,RK17
JO-0007,LK-0003
JO-0007,RKRN
