from,to
LKSU,UKCM
LKSU,EICL
LKSU,FI-0002
LKSU,EKMB
LKSU,EFKK
LKSU,EYAL
LKSU,SE-0006
LKSU,LOAT
LKSU,BIBV
LKSU,EGNS
LKSU,LFLA
LKSU,IE-0034
LKSU,SE-0042
LKSU,LOWG
LKSU,LBHT
LKSU,IE-0037
LKSU,IM-0006
LKSU,LFNR
LKSU,LGSA
LKSU,PT-0114
EKHG,LGLR
EKHG,LGIO
EKHG,LT-0015
EKHG,IE-0034
EKHG,FR-0320
EKHG,EIAB
EKHG,FR-0512
EKHG,UA-0082
EKHG,EYTL
EKHG,LFLA
EKHG,BG-0017
EKHG,IS-0001
EKHG,EE-0007
EKHG,EE-0010
EKHG,LFLB
EKHG,EE-0001
EKHG,EFVT
EKHG,EFPU
EKHG,IE-0023
EFNS,LOWK
EFNS,UA-0080
EFNS,BISP
EFNS,LFLA
EFNS,DK-0001
EFNS,LOLC
EFNS,LPMA
EFNS,BIDV
EFNS,EYSB
EFNS,FI-0004
EFNS,IM-0006
EFNS,UA-0017
EFNS,PT-0037
EFNS,DK-0033
EFNS,IM-0001
EFNS,LT-0021
EFNS,EEKE
LPMT,LGAT
LPMT,LT-0015
LPMT,LT-0019
LPMT,BIHI
LPMT,FR-0344
LPMT,EERA
LPMT,LOIR
LPMT,EENA
LPMT,LOWK
LPMT,PT-0088
LPMT,GR-0052
LPMT,EICM
LPMT,LT-0011
LPMT,LKJI
LKCM,DK-0050
LKCM,UKKG
LKCM,SE-0042
LKCM,PT-0061
LKCM,IE-0052
LKCM,UKFW
LKCM,UA-0093
LKCM,PT-0020
LKCM,LFIX
LKCM,UKKH
LKCM,LT-0021
LKCM,PT-0123
LKCM,BG-0031
LKCM,EE-0001
LKCM,BG-0017
LKCM,ESFA
LFIX,IE-0035
LFIX,EYVK
LFIX,LFNG
LFIX,SE-0060
LFIX,EFLN
LFIX,EFVT
LFIX,LB11
LFIX,EYKS
LFIX,EFEU
