from,to
DE-0219,VA1J
DE-0219,HK-0001
DE-0219,EYKS
DE-0219,GUXN
DE-0219,VE-0105
DE-0219,HK-0008
DE-0219,EG-0004
DE-0219,SD-0009
DE-0219,BW-0043
DE-0219,OEDM
DE-0219,FK-0024
DE-0219,SEHZ
DE-0219,NFNB
DE-0219,SE-0074
DE-0219,FK-0030
DE-0219,AE-0129
DE-0219,HSMK
DE-0219,ES-0122
DE-0219,UTDK
DE-0219,NFNV
DE-0219,TJ-UT46
DE-0219,YARI
DE-0219,NVVV
DE-0219,TJ-0004
DE-0219,OEUM
DE-0219,FZUR
DE-0219,VVPR
DE-0219,EDCL
DE-0219,HK-0063
DE-0219,UZ-0117
GMFA,AGGK
GMFA,ESQO
GMFA,AO-0041
GMFA,LJPZ
GMFA,FBOM
GMFA,NVSQ
GMFA,LTXE
GMFA,DPU
GMFA,GE-0010
GMFA,NVSZ
GMFA,LAVL
GMFA,TJ-0006
GMFA,OIKF
GMFA,SE-0032
GMFA,ELLX
GMFA,OENG
GMFA,FHSH
GMFA,NFNB
GMFA,TH-0011
GMFA,MA-0006
GMFA,BY-0041
GMFA,NP-0015
GMFA,PT-0099
GMFA,NGFU
GMFA,VVGL
GMFA,GUBE
GMFA,IN-0079
GMFA,SE-0043
GMFA,VYPY
GMFA,VNDR
GMFA,GB-0489
GMFA,HETR
GMFA,NWWP
VIV,OMAF
VIV,PG-0064
VIV,ES-0122
VIV,OEPC
VIV,BY-0030
VIV,OMDM
VIV,HSSG
VIV,HE30
VIV,TH-0012
VIV,GMFK
VIV,FK-0004
VIV,FZQJ
VIV,SE13
VIV,AGGB
VIV,SE-0060
VIV,EYPA
VIV,HSMK
VIV,GF-0010
VIV,SS-0028
VIV,NO-0013
VIV,PY-0068
VIV,PY-0011
VIV,NWWL
VIV,TJ-0001
VIV,CD-0035
VIV,PT-0144
VIV,US-0221
VIV,VQ10
VIV,VNMN
VIV,SI-0022
VIV,LJCL
VIV,UM-0002
VIV,EDCA
VIV,NCMG
VIV,NCAI
VIV,VHHH
ES-0048,GMFU
ES-0048,LUTR
ES-0048,UM-0004
ES-0048,NWWL
ES-0048,HHSB
ES-0048,VYCI
ES-0048,OENG
ES-0048,HSGO
ES-0048,HSAK
ES-0048,VN-0038
ES-0048,NO-0013
ES-0048,EYPA
ES-0048,VE-0202
ES-0048,NIUE
ES-0048,VNTH
ES-0048,GB-0624
ES-0048,NWWI
ES-0048,ER-0004
ES-0048,VE-0216
ES-0048,VNNG
ES-0048,GUSI
ES-0048,FK-0006
ES-0048,YSNB
ES-0048,BY-4247
ES-0048,NFFO
ES-0048,SI-0010
ES-0048,FZUR
ES-0048,HHTS
ES-0048,FZQJ
ES-0048,TJ-0004
ES-0048,HSNW
ES-0048,GUMA
ES-0048,EBFD
ES-0048,HEMM
