AirfieldName,Time,WeatherCode
AD,1680296400,14
AD,1680318000,27
AD,1680339600,26
AD,1680361200,17
AD,1680382800,21
AD,1680404400,8
AD,1680426000,29
AD,1680447600,16
AD,1680469200,26
AD,1680490800,3
AD,1680512400,19
AD,1680534000,8
AD,1680555600,16
AD,1680577200,6
AD,1680598800,11
AD,1680620400,23
AD,1680642000,17
AD,1680663600,26
AD,1680685200,17
AD,1680706800,2
AD,1680728400,13
AD,1680750000,31
AD,1680771600,31
AD,1680793200,27
AD,1680814800,19
AD,1680836400,5
AD,1680858000,20
AD,1680879600,31
AD,1680901200,30
AD,1680922800,1
AD,1680944400,19
AD,1680966000,7
AD,1680987600,7
AD,1681009200,6
AD,1681030800,30
AD,1681052400,8
AD,1681074000,29
AD,1681095600,3
AD,1681117200,30
AD,1681138800,4
AD,1681160400,5
AD,1681182000,11
AD,1681203600,7
AD,1681225200,3
AD,1681246800,27
AD,1681268400,0
AD,1681290000,13
AD,1681311600,4
AD,1681333200,4
AD,1681354800,2
AD,1681376400,4
AD,1681398000,13
AD,1681419600,25
AD,1681441200,12
AD,1681462800,26
AD,1681484400,31
AD,1681506000,13
AD,1681527600,20
AD,1681549200,21
AD,1681570800,14
AD,1681592400,29
AD,1681614000,24
AD,1681635600,13
AD,1681657200,15
AD,1681678800,11
AD,1681700400,21
AD,1681722000,29
AD,1681743600,17
AD,1681765200,4
AD,1681786800,2
AD,1681808400,1
AD,1681830000,6
AD,1681851600,5
AD,1681873200,30
AD,1681894800,20
AD,1681916400,0
AD,1681938000,0
AD,1681959600,26
AD,1681981200,23
AD,1682002800,28
AD,1682024400,14
AD,1682046000,23
AD,1682067600,8
AD,1682089200,22
AD,1682110800,14
AD,1682132400,14
AD,1682154000,20
AD,1682175600,17
AD,1682197200,25
AD,1682218800,9
AD,1682240400,12
AD,1682262000,3
AD,1682283600,6
AD,1682305200,24
AD,1682326800,1
AD,1682348400,2
AD,1682370000,17
AD,1682391600,28
AD,1682413200,15
AD,1682434800,18
AD,1682456400,29
AD,1682478000,6
AD,1682499600,18
AD,1682521200,0
AD,1682542800,14
AD,1682564400,0
AD,1682586000,11
AD,1682607600,14
AD,1682629200,2
AD,1682650800,24
AD,1682672400,17
AD,1682694000,29
AD,1682715600,7
AD,1682737200,27
AD,1682758800,7
AD,1682780400,25
AD,1682802000,18
AD,1682823600,27
AD,1682845200,5
AD,1682866800,5
AD,1682888400,13
AE,1680296400,18
AE,1680318000,24
AE,1680339600,6
AE,1680361200,27
AE,1680382800,30
AE,1680404400,10
AE,1680426000,8
AE,1680447600,10
AE,1680469200,12
AE,1680490800,13
AE,1680512400,27
AE,1680534000,10
AE,1680555600,4
AE,1680577200,27
AE,1680598800,7
AE,1680620400,30
AE,1680642000,13
AE,1680663600,1
